,title,subtitle,link
0,BIG DEAL,I visited the UK's biggest supermarket - it's perfect for bulk buying,https://www.thesun.co.uk/money/29101348/uk-biggest-supermarket-tesco-extra-walkden-grocery-shopping/
1,SHOP WATCH,Aldi slaps anti-theft tags on £2 tubes of kids’ TOOTHPASTE to deter shoplifting,https://www.thesun.co.uk/money/29170641/shops-toothpaste-alarms-security-tags/
2,RETAIL FAIL,Major retailer on the brink of administration putting 272 stores at risk,https://www.thesun.co.uk/money/29172622/major-retailer-plunges-into-administration-stores-carpetright/
3,EXTRA TIME,Supermarkets to open LATER due to England v Spain Euro 2024 final,https://www.thesun.co.uk/money/29162817/sainsburys-tesco-lidl-supermarkets-euro-final-opening-hours/
4,BAG IT,Cheapest place to buy England replica and vintage shirts ahead of Euro 2024 final,https://www.thesun.co.uk/money/29163987/cheapest-place-ebay-vintage-retro-england-shirts/
5,ALL CHANGE,Major provider with 1million customers to axe ‘sneaky’ price hikes from today,https://www.thesun.co.uk/money/29130158/major-provider-axe-sneaky-price-hikes-plusnet-ofcom/
6,BANK ON IT,"Rare £20 King Charles banknote sells at auction for £7,000 – how to spot one",https://www.thesun.co.uk/money/29127182/rare-king-charles-banknote-auction-spink-son/
7,FLIGHT FAIL,Thousands of travellers could be owed £100s in compensation after court ruling,https://www.thesun.co.uk/money/29134494/urgent-warning-compensation-flights-british-airways-court-ruling/
8,CHILD'S PAY,Government won't rule out SCRAPPING two-child benefit cap as 1.6m kids miss out,https://www.thesun.co.uk/money/29128902/government-refuses-rule-out-scrapping-two-child-benefit-cap/
9,PENSION ATTENTION,What are the pros and cons of taking out your pension tax-free lump sum?,https://www.thesun.co.uk/money/29108899/pros-cons-taking-pension-tax-free-lump-sum-cash/
10,WATER HIKE,Millions to be hit with water bill rises - see how it affects your area,https://www.thesun.co.uk/money/29124560/households-water-bill-rises-year/
11,SCHOOL'S OUT,M&S axes key school uniform item - here is where you can buy it instead,https://www.thesun.co.uk/money/29091244/ms-axes-key-school-uniform-item/
12,KICK OFF,"Tesco to shut 1,800 stores early for Euro 2024 final if England win tonight",https://www.thesun.co.uk/money/29100241/tesco-shut-stores-early-euro-2024-final-england/
13,BOTTOMS UP,Great news for Wetherspoons punters as pub boss makes vow on price of booze,https://www.thesun.co.uk/money/29100561/wetherspoons-boss-promise-sun-readers-not-raise-prices/
14,PAD IT OUT,We bought £4k of furniture for FREE via supermarket trip after buying £266k home,https://www.thesun.co.uk/money/29062045/my-first-home-furniture-loyalty-schemes-tesco-save-mortgage/
